,unnormalized,normalized
877,"The dumplings whichhh Sasha is gobblingg donwnn faaster Than I can rht the meatballs are extremeelyyyy tasty , if I do say so .","The dumplings which Sasha is gobbling down faster than I can reheat the meatballs are extremely tasty, if I do say so."
878,III suspect thatt th contract which I want to peRse before filing away the deed may some loopholes .,I suspect that the contract which I want to peruse before filing away the deed may some loopholes.
879,The curtain which Fred Tore n rloilng the wallpaper up wassss the kind gft of MY m8ernal Aunt Prscll .,The curtain which Fred tore in rolling the wallpaper up was the kind gift of my maternal Aunt Priscilla.
880,"The dmplings which Sash s gobbling down faster than I cann reheat them are etxermyy tasty , if I doooo say so .","The dumplings which Sasha is gobbling down faster than I can reheat them are extremely tasty, if I do say so."
881,Reports which the government prescribes the heightt of the letterng onnnnn the covers of are inavriably boringgggggggggg .,Reports which the government prescribes the height of the lettering on the covers of are invariably boring.
882,Reprts the covers f which the gvrnmnt prescribes the hght of the ltetering on almoSt always put me 2 slep .,Reports the covers of which the government prescribes the height of the lettering on almost always put me to sleep.
883,Reports the lteetring on the covers of which th government prescribes th hegtt of arE aa shocking waste of public funds .,Reports the lettering on the covers of which the government prescribes the height of are a shocking waste of public funds.
884,Reprtos the height of the lettering on the covers of whichh the govermnnet prescribes should be abolished .,Reports the height of the lettering on the covers of which the government prescribes should be abolished.
885,he hs books bY sevral Greek authors .,He has books by several Greek authors.
886,Which Greek authors does he have bookss byyyy ?,Which Greek authors does he have books by?
887,Theyy will gv me a hatt which I know that I wontTt like .,They will give me a hat which I know that I wont like.
888,Th boyy whose guardians employee we electeeddd prsdent betrayed us .,The boy whose guardians employee we elected president betrayed us.
889,Im going 2 ask Bill to makeeeeee the old geezer take up these points later .,Im going to ask Bill to make the old geezer take up these points later.
890,Thsee points Im going to ask BiillLl 2 make the old geezer take up Lterr .,These points Im going to ask Bill to make the old geezer take up later.
891,th boys guardians employer wee electedddddd president .,The boys guardians employer we elected president.
892,We elected president th byss guardians emplyer .,We elected president the boys guardians employer.
893,Which boys guardianss employr didd weee elecccccct president ? .,Which boys guardians employer did we elect president?.
894,How careelssly have you piCKed up TNT ?,How carelessly have you picked up TNT?
895,Sheila marrieddd that tl a mann .,Sheila married that tall a man.
896,How tall a man did Sheillllaa marry ?,How tall a man did Sheila marry?
897,On which bed des TOM sleep ?,On which bed does Tom sleep?
898,The bd on which tom slept was hard .,The bed on which Tom slept was hard.
899,Wihch Bed didd Tommm sleEp on ?,Which bed did Tom sleep on?
900,The bed which Tom slept n was hard .,The bed which Tom slept on was hard.
901,"My sister arrived at a time when no buses wre running , and my brother RrvD at a timme whennnnn no buses wr runninggggg tooooo .","My sister arrived at a time when no buses were running, and my brother arrived at a time when no buses were running too."
902,Jack disappeared in a mysterious manner aNd th Huddsn disappeared in a mysteris maner too .,Jack disappeared in a mysterious manner and the Hudson disappeared in a mysterious manner too.
903,The ny relatives who Id like 2 d away with are my aunts .,The only relatives who Id like to do away with are my aunts.
904,That meeting IId like to sit in onnnnnn .,That meeting Id like to sit in on.
905,For whose rights do you expect me to speeak up ?,For whose rights do you expect me to speak up?
906,One pln which I gggot wind of was calculated to keep s iN suspense .,One plan which I got wind of was calculated to keep us in suspense.
907,Did u notice which difficultiess sh made .,Did you notice which difficulties she made.
908,Whoo ar you trying to get hold of ?,Who are you trying to get hold of?
909,The ly offer of which I plan to tak advantage will giv me annNnnn eleven month paid vac8ion .,The only offer of which I plan to take advantage will give me an eleven month paid vacation.
910,dee scenes to which the cesnros took jection had to do with de mixeddd mrag of a wan and aaaa gianttt panda .,The scenes to which the censors took objection had to do with the mixed marriage of a woman and a giant panda.
911,Advntag will b takennn of his offer .,Advantage will be taken of his offer.
912,His offer will be takn advantage of .,His offer will be taken advantage of.
913,"In this experiment , fourten varbls must be kept traaaack of cimultaneously .","In this experiment, fourteen variables must be kept track of simultaneously."
914,Objectionnnnnnnnnn wasss taken 2 the length of or skirts .,Objection was taken to the length of our skirts.
915,A plan to negotiate an honroable end to thee waR in Vietnam was gotten windd of .,A plan to negotiate an honorable end to the war in Vietnam was gotten wind of.
916,Her indiscretions were mddde light of .,Her indiscretions were made light of.
917,Some rare ld mnuscrpts have been gotten hold of .,Some rare old manuscripts have been gotten hold of.
918,Use was made of Gausss polynomial lemma .,Use was made of Gausss polynomial lemma.
919,Tabs wre kept onnn all persons entering th station .,Tabs were kept on all persons entering the station.
920,My friends Mikee talked to aboutttt politcs yesterday .,My friends Mike talked to about politics yesterday.
921,To my friends Mike talked about politics yesterday .,To my friends Mike talked about politics yesterday.
922,II gave to tHe offcer in charge the blackjack . whiiich I had fouNd in the cookie jar .,I gave to the officer in charge the blackjack. which I had found in the cookie jar.
923,"I am confident of , and my boss depends on , a sucecssufl outing att the traackk .","I am confident of, and my boss depends on, a successful outing at the track."
924,The boys uncle nd aUnt were kissing .,The boys uncle and aunt were kissing.
925,Who are you gawking at ?,Who are you gawking at?
926,Which hatt do you believe that she nevrr wor ?,Which hat do you believe that she never wore?
927,The reporters expEcteD th8 thhe principal wuold fir some teaacher .,The reporters expected that the principal would fire some teacher.
928,That the pncipal woulddd fire somee teacherrr was expected by th rproters .,That the principal would fire some teacher was expected by the reporters.
929,de teacher who the reporrters expectedd th8 the principal would fire is aa crusty old jERk .,The teacher who the reporters expected that the principal would fire is a crusty old jerk.
930,The teacher who it was expecteD by the Reporters that th prinCipal wuld fire is a crusty old jerk .,The teacher who it was expected by the reporters that the principal would fire is a crusty old jerk.
931,III disliekd de boys playing the piano loudly .,I disliked the boys playing the piano loudly.
932,The boy whose lud plyngg of th piano I disliked was a student .,The boy whose loud playing of the piano I disliked was a student.
933,The piano whichhhhhhh I disliked theeee boys plAying loudy was badly out offf tune .,The piano which I disliked the boys playing loudly was badly out of tune.
934,The boys lod playing of the piano drove everyone crazy .,The boys loud playing of the piano drove everyone crazy.
935,de boys playing the piano loudly drove everyone crazy .,The boys playing the piano loudly drove everyone crazy.
936,"d8 piano , the boys lud playing of which dRovee everyone crazy , was badLy ut of tune .","That piano, the boys loud playing of which drove everyone crazy, was badly out of tune."
937,Did his having plyd the piano srprise you ?,Did his having played the piano surprise you?
938,Mik quipped that she never woreeee this hat .,Mike quipped that she never wore this hat.
939,for Anna to tickle him dirves Frnk crazy .,For Anna to tickle him drives Frank crazy.
940,Annas ticckling him drovE Frank crazy .,Annas tickling him drove Frank crazy.
941,Thy aree investigating all people owning parrrrrrakeetsss .,They are investigating all people owning parakeets.
942,It APpEars t be true thatttt HArry likes girls .,It appears to be true that Harry likes girls.
943,This is the dog th8 chad the cat that cute the rat that ate the cheese .,This is the dog that chased the cat that caught the rat that ate the cheese.
944,Her efficient ling up off The answer plasd the booooss .,Her efficient looking up of the answer pleased the boss.
945,She did away with her father .,She did away with her father.
946,It iS not true that that Bob was lyingg ws obvios .,It is not true that that Bob was lying was obvious.
